BU_CODE,volume,BU,target_mk_volume,target_sk_volume,volume_MK,volume_SK,%_mk_done,%_sk_done
KSM_B02,5.0,Lâm Đồng,36000,2400,5.0,5.0,0.01,0.21
KSM_B05,73453.6,Gia Lai,43000,5000,73453.6,73453.6,100.0,100.0
